Nr;Afd.;Aanvang;Thuis;Uit;Zwembad;Scheidsrechters;
5753;D1.BG1 ;03-10-2010 18:30;Ritola Z & PC, BG 1      ;TriVia, BG 1      ;Zuidlaren                           (Aqualaren                          );,  ;
5754;D1.BG1 ;09-10-2010 16:45;WSG DraGor, BG 1      ;Ritola Z & PC, BG 1      ;Drachten                            (De Welle                           );,  ;
5761;D1.BG1 ;17-10-2010 18:30;Ritola Z & PC, BG 1      ;SGHA, BJ 1      ;Zuidlaren                           (Aqualaren                          );,  ;
5765;D1.BG1 ;31-10-2010 14:00;ZPC Stadskanaal, BG 1      ;Ritola Z & PC, BG 1      ;Stadskanaal                         (Zwembad Pagecentrum                );,  ;
5769;D1.BG1 ;07-11-2010 18:30;Ritola Z & PC, BG 1      ;Orca, BG 1      ;Zuidlaren                           (Aqualaren                          );,  ;
5775;D1.BG1 ;20-11-2010 19:45;Aqua`68, BG 1      ;Ritola Z & PC, BG 1      ;Assen                               (De Bonte Wever - Assen             );,  ;
5776;D1.BG1 ;21-11-2010 15:30;Moby Dick, BG 1      ;Ritola Z & PC, BG 1      ;Coevorden                           (de Swaneburg                       );,  ;
5780;D1.BG1 ;28-11-2010 18:30;Ritola Z & PC, BG 1      ;MZ&PC De Reest, BG 1      ;Zuidlaren                           (Aqualaren                          );,  ;
5790;D1.BG1 ;22-01-2011 16:15;Neptunia`24, BJ 1      ;Ritola Z & PC, BG 1      ;Sneek                               (It Rak                             );,  ;
5796;D1.BG1 ;05-02-2011 17:30;TriVia, BG 1      ;Ritola Z & PC, BG 1      ;Groningen                           (Helperbad                          );,  ;
5801;D1.BG1 ;13-02-2011 18:30;Ritola Z & PC, BG 1      ;WSG DraGor, BG 1      ;Zuidlaren                           (Aqualaren                          );,  ;
5805;D1.BG1 ;20-02-2011 14:00;SGHA, BJ 1      ;Ritola Z & PC, BG 1      ;Heerenveen                          (Sportstad Heerenveen               );,  ;
5809;D1.BG1 ;27-02-2011 18:30;Ritola Z & PC, BG 1      ;ZPC Stadskanaal, BG 1      ;Zuidlaren                           (Aqualaren                          );,  ;
5811;D1.BG1 ;12-03-2011 16:30;Orca, BG 1      ;Ritola Z & PC, BG 1      ;Leeuwarden                          (De Blauwe Golf                     );,  ;
5817;D1.BG1 ;20-03-2011 18:30;Ritola Z & PC, BG 1      ;Aqua`68, BG 1      ;Zuidlaren                           (Aqualaren                          );,  ;
5821;D1.BG1 ;27-03-2011 18:30;Ritola Z & PC, BG 1      ;Moby Dick, BG 1      ;Zuidlaren                           (Aqualaren                          );,  ;
5822;D1.BG1 ;02-04-2011 15:30;MZ&PC De Reest, BG 1      ;Ritola Z & PC, BG 1      ;Meppel                              (Bad Hesselingen                    );,  ;
5837;D1.BG1 ;24-04-2011 18:30;Ritola Z & PC, BG 1      ;Neptunia`24, BJ 1      ;Zuidlaren                           (Aqualaren                          );,  ;
